name,price
"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",259.0
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.0
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249.0
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",180.0
"15.6'' Laptop, 12GB DDR4 RAM 512GB SSD, Windows 11 Laptop Computer, Celeron Quad Core Jasper Lake N5095, FHD IPS 1920x1080 Screen, Ultra Slim Lightweight,Numeric Keypad, Webcam",299.0
"ASUS 15.6” Vivobook Go Laptop, Intel Celeron N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",179.0
"Laptops, 15.6 Inch Laptop, 8GB DDR4 256GB SSD Laptops Computer with Celeron Quad core CPU, 7000mAh, Numeric Keypad, Webcam, Mini HDMI, USB3.0, Dual WiFi, Type-C",219.0
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",198.0
"Laptop, 17.3 Inch Laptops Computer, 4GB DDR3 128GB SSD Notebook with Celeron i3-5005U CPU(up to 2.0 GHz), Expandable 1TB, 8000mAh, Webcam, Mini HDMI, USB3.2 * 2, Type-C(Slim)",239.0
"ACEMAGIC 2024 Newest Laptop,17.3-Inch FHD Display Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver",399.0
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",484.0
"jumper Laptop with Celeron N5095 CPU, Office 365 One Year, 16GB RAM 128GB EMMC, 1TB SSD, Laptop Computer with FHD IPS 1920x1200 Display, 38WH Battery, 2.4G+5G WiFi, BT4.0, HDMI, 16 Inch Laptops.",899.0
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Black",288.0
"Lenovo Newest V15 Business Laptop | Intel 4-core Processor | 15.6"" FHD (1920 x 1080) | 32GB RAM | 1TB SSD | Ethernet RJ-45 | Military Durability | Windows 11 Pro | w/WOWPC 500GB External Storage",549.0
"Acer Nitro V Gaming Laptop | AMD Ryzen 7 8845HS Octa-Core AI Capable Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 16"" WUXGA IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | ANV16-41-R5J0",959.0
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",474.0
"ACEMAGIC Laptop Computer 15.6 inch FHD Display, 16GB RAM 512GB ROM with Quad-Core Intel N95(4C/4T, Up to 3.4GHz) Windows 11 Laptop Support WiFi, BT5.0, 1MP Webcam, 3*USB3.2, Type_C",359.0
"HP 17.3"" FHD Business Laptop 2024, 32GB RAM, 1TB SSD, 12th Gen Intel Core i3-1215U (6-Core, Beat i5-1135G7), Wi-Fi, Long Battery Life, Webcam, Numpad, Windows 11 Pro, KyyWee Accessories",649.0
Slim 240W Laptops Charger for Dell Alienware 15 17 M17x M18x R3 R4 R5 m15 r7 Precision M6800 M6700 M6600 M6500 GA240PE1-00 Laptop g15 5511 5520 Power Supply Adapter,39.0
330W AC Adapter charger Fit for HP OMEN 17 17-ck1111nr 17-ck1020nr 17-ck0000 17-ck1021nr 17-cm2047nr 17-ck1010nr TPN-DA60 OMEN 7 Plus 9 Plus Gaming laptop charger,90.0
280W ADP-280EB B Laptop Charger AC Adapter for Asus ROG Strix G15 G513 G513QM G17 G713QR G713QM G532L G732L G731G G531G G703G Scar 15 17 G532L G533Z G732L G733Z Gaming Laptop 20V 14A Power Supply Cord,73.0
